#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
888 1000 50 1.97911 2
889 1000 50 1.97908 2
890 1000 50 1.97905 2
891 1000 50 1.97901 2
892 1000 50 1.97898 2
893 1000 50 1.97895 2
894 1000 50 1.97892 2
895 1000 50 1.97889 2
896 1000 50 1.97886 2
897 1000 50 1.97882 2
898 1000 50 1.97879 2
899 1000 50 1.97876 2
900 1000 50 1.97873 2
901 1000 50 1.9787 2
902 1000 50 1.97867 2
903 1000 50 1.97864 2
904 1000 50 1.9786 2
905 1000 50 1.97857 2
906 1000 50 1.97854 2
907 1000 50 1.97851 2
908 1000 50 1.97848 2
909 1000 50 1.97845 2
910 1000 50 1.97842 2
911 1000 50 1.97838 2
912 1000 50 1.97835 2
913 1000 50 1.97832 2
914 1000 50 1.97829 2
915 1000 50 1.97826 2
916 1000 50 1.97823 2
917 1000 50 1.9782 2
918 1000 50 1.97817 2
919 1000 50 1.97814 2
920 1000 50 1.9781 2
921 1000 50 1.97807 2
922 1000 50 1.97804 2
923 1000 50 1.97801 2
924 1000 50 1.97798 2
925 1000 50 1.97795 2
926 1000 50 1.97792 2
927 1000 50 1.97789 2
928 1000 50 1.97786 2
929 1000 50 1.97783 2
930 1000 50 1.9778 2
931 1000 50 1.97776 2
932 1000 50 1.97773 2
933 1000 50 1.9777 2
934 1000 50 1.97767 2
935 1000 50 1.97764 2
936 1000 50 1.97761 2
937 1000 50 1.97758 2
938 1000 50 1.97755 2
939 1000 50 1.97752 2
940 1000 50 1.97749 2
941 1000 50 1.97746 2
942 1000 50 1.97743 2
943 1000 50 1.9774 2
944 1000 50 1.97737 2
945 1000 50 1.97734 2
946 1000 50 1.97731 2
947 1000 50 1.97728 2
948 1000 50 1.97725 2
949 1000 50 1.97721 2
950 1000 50 1.97718 2
951 1000 50 1.97715 2
952 1000 50 1.97712 2
953 1000 50 1.97709 2
954 1000 50 1.97706 2
955 1000 50 1.97703 2
956 1000 50 1.977 2
957 1000 50 1.97697 2
958 1000 50 1.97694 2
959 1000 50 1.97691 2
960 1000 50 1.97688 2
961 1000 50 1.97685 2
962 1000 50 1.97682 2
963 1000 50 1.97679 2
964 1000 50 1.97676 2
965 1000 50 1.97673 2
966 1000 50 1.9767 2
967 1000 50 1.97667 2
968 1000 50 1.97664 2
969 1000 50 1.97661 2
970 1000 50 1.97658 2
971 1000 50 1.97655 2
972 1000 50 1.97652 2
973 1000 50 1.97649 2
974 1000 50 1.97646 2
975 1000 50 1.97643 2
976 1000 50 1.9764 2
977 1000 50 1.97637 2
978 1000 50 1.97634 2
979 1000 50 1.97631 2
980 1000 50 1.97628 2
981 1000 50 1.97625 2
982 1000 50 1.97623 2
983 1000 50 1.9762 2
984 1000 50 1.97617 2
985 1000 50 1.97614 2
986 1000 50 1.97611 2
987 1000 50 1.97608 2
988 1000 50 1.97605 2
989 1000 50 1.97602 2
990 1000 50 1.97599 2
991 1000 50 1.97596 2
992 1000 50 1.97593 2
993 1000 50 1.9759 2
994 1000 50 1.97587 2
995 1000 50 1.97584 2
996 1000 50 1.97581 2
997 1000 50 1.97578 2
998 1000 50 1.97575 2
999 1000 50 1.97572 2
